lemma	pos	totaal	Delft	Deux	Leuven	Luther	SV1657	woordvormen
doden	NOU	45	3	5	5	9	23	[doodde. 1]; [dadent 1]; [doodede 2]; [doodet 28]; [Doodet 3]; [gedoot 8]; [dedent 1]; [doodden. 1]
dodeten	NOU	59	10	12	1	10	26	[dedestu 1]; [dedet 3]; [dadeste 1]; [dodet 7]; [gedoodet 20]; [Gedoodet 1]; [gedooddet 1]; [Dodoneus 1]; [ghedodet 1]; [doodestu 1]; [Dodai 6]; [dootet 1]; [ghedoodet 5]; [scheydedest 1]; [Doetet 3]; [dedest 3]; [Theodotus 2]; [doodet. 1]
dodeten	CON_PRN	21	1	0	0	18	2	[dat’et 20]; [datet 1]
dodeten	VRB	127	26	15	6	22	58	[dedestu 2]; [dedet 42]; [dodet. 1]; [dede’t 2]; [dodet 5]; [dedeste 1]; [gedoodet 52]; [ghedodet 4]; [doet’et 4]; [ghedoodet 5]; [dedet. 1]; [dedest 3]; [doetet 5]
dodeten	NEPER	12	1	4	1	5	1	[dedet 2]; [Dodaus 1]; [gedoodet 2]; [Dat’et 3]; [ghedoodet 1]; [dedest 1]; [Theodotus 2]
doding	NOU	55	1	4	23	5	22	[doodinghen 17]; [doodinge 24]; [doodingen 1]; [dodinghe 1]; [doodinghe 10]; [Doodinge 2]
dodo	NOU	16	0	5	0	5	6	[Dodo 16]
doek	NOU	60	1	11	13	9	26	[doecken 40]; [doec 1]; [doecxkens 1]; [doeck 17]; [Doeck 1]
doelen	VRB	46	14	0	32	0	0	[doelt 9]; [ghedoelt 26]; [gedoelt 1]; [doelde 3]; [doelden 5]; [doelden. 1]; [doelt. 1]
doelen	NOU	10	5	0	5	0	0	[ghedoelt 4]; [doelden 6]
doelwit	NOU	12	0	0	0	4	8	[Doelwit 1]; [doelwit 7]; [doel-wit 4]
doemen	VRB	46	21	19	6	0	0	[ghedoemt 6]; [Doemen 7]; [doemen 33]
doen	VRB_PRN	75	20	5	5	12	33	[doetse 51]; [doense 7]; [Doetse 1]; [dedense 16]
doen	CON	5143	675	1277	500	1984	707	[Doen 21]; [Doe 751]; [deyt 1]; [doen 533]; [doe 3740]; [DOe 95]; [DOen 1]; [doe’t 1]
doen	NEPER	39	2	9	1	12	15	[Dedans 3]; [Dedan 29]; [doe 3]; [DOe 1]; [Doetse 1]; [doe’t 1]; [Dedan. 1]
doen	VRB	27289	3347	4861	5128	4548	9405	[deden. 5]; [Doende 5]; [deen 4]; [ghedaen. 14]; [Doen 294]; [deedt 1]; [doense 1]; [deed 15]; [Doe 2843]; [doen-de 1]; [ghdaen 1]; [dede 2038]; [ghe-daen 1]; [doe. 4]; [gedaen 3137]; [dedan 2]; [doende. 1]; [gedaan 6]; [doen 10063]; [Dedan 3]; [duut 1]; [de 44]; [ghedan 1]; [doet. 15]; [gedaen. 6]; [deede 1]; [doenen 1]; [doet 3698]; [doe 840]; [DOe 56]; [Deden 4]; [doen. 96]; [dade 6]; [Gedaen 4]; [deed’hen 1]; [deden 920]; [gghedaen 1]; [doene 34]; [ge-daen 1]; [doene. 1]; [De 2]; [doets 8]; [de-den 1]; [ghedaen 2744]; [deet 4]; [Dede 1]; [doende 359]
doen	UNRESOLVED	23	0	0	0	23	0	[DOe 23]
doen	[.]	75	4	6	0	59	6	[DOe 72]; [Doe 3]
doen	ART	31	2	9	1	11	8	[dee 1]; [Doe 18]; [dede 1]; [doe 5]; [DOe 4]; [deden 1]; [DOen 1]
doen	ADJ	67	6	13	5	12	31	[doense 2]; [Doe 15]; [doetse 1]; [doen 8]; [doet 6]; [doe 7]; [DOe 13]; [gedane 8]; [deden 1]; [doe’t 1]; [doets 1]; [doende 4]
doen	NOU	690	48	125	105	147	265	[deden. 3]; [Dedans 2]; [ghedaen. 1]; [DOEN 1]; [Doe 10]; [DOet 16]; [doen 248]; [Dedan 4]; [doet. 1]; [doet 3]; [doe 3]; [DOe 16]; [doen. 2]; [doens 16]; [Doetse 4]; [doene 9]; [DOen 20]; [doe’t 1]; [Doet 329]; [Dedan. 1]
doen	NELOC	12	1	3	4	3	1	[Dedan 9]; [doe 1]; [gedaene 1]; [dedan 1]
doen	NUM	67	9	30	0	0	28	[DOe 65]; [Doe 1]; [doen 1]
doener	NOU	33	0	1	15	11	6	[doender 11]; [toouenersse 1]; [Doenders 1]; [Doender 1]; [doenders 19]
doener	VRB_ADV	13	0	0	12	1	0	[doender 13]
doenlijk	ADJ	13	0	0	5	0	8	[doenlick 7]; [doenlijk 1]; [doenlijck 4]; [doenelick 1]
doente	NOU	17	2	3	12	0	0	[doent 17]
doente	VRB	18	4	1	13	0	0	[doent 18]
does	VRB	12	3	1	0	4	4	[does 2]; [doese 10]
does	NOU	52	26	7	0	13	6	[does 7]; [Doese 9]; [DOese 1]; [doese 35]
doest	VRB	24	1	23	0	0	0	[doest 24]
doest	NOU	96	1	95	0	0	0	[doeste 1]; [doest 95]
doezen	VRB	20	14	6	0	0	0	[does. 1]; [doechde 2]; [doeste. 1]; [ghedoechde 1]; [gedoechde 1]; [doechden 1]; [doeste 4]; [doechden. 1]; [doestu 8]
doezen	NOU	12	8	4	0	0	0	[doechden 5]; [doestu 6]; [deoecheden. 1]
dogen	ART_NOU	17	0	0	0	3	14	[d’ooge 8]; [d’oogen 9]
dogen	VRB	14	10	0	2	1	1	[doogh 1]; [doghende 1]; [doghen 8]; [d’oogen 1]; [doeghet 3]
doksaal	NOU	14	0	13	1	0	0	[Deux-Aes 14]
dokter	NOU	11	1	0	7	2	1	[doctor 1]; [doctuer 1]; [doctooren 3]; [doctoren 3]; [Doctoren 2]; [Doctor 1]
dokteren	VRB	374	58	90	58	109	59	[dochteren 367]; [dochteren. 5]; [dochterniet 1]; [Dochteren 1]
dokteren	NOU	1030	169	223	189	187	262	[dochteren 1020]; [dochteren. 5]; [Dochteren 4]; [dochte-ren 1]
dokteren	ADJ	17	1	6	4	4	2	[dochteren 16]; [Dochteren 1]
dokteren	NELOC	11	0	5	5	1	0	[dochteren 11]
dokteren	NEPER	15	4	2	3	1	5	[dochteren 15]
dolen	VRB	109	18	6	49	13	23	[gedoolt 3]; [doolde 1]; [doolende 5]; [doole 1]; [dolen 55]; [doolt 2]; [doolen 19]; [dolende 23]
doling	NOU	68	16	0	49	2	1	[doolinge 2]; [dolinge. 1]; [doolingen 1]; [dolingen 1]; [dolinge 2]; [dolinghen 23]; [dolinghe 38]
dominee	NOU	31	0	0	31	0	0	[domine 1]; [Domine 30]
dominie	NOU	10	0	3	3	4	0	[domini 1]; [Domini 9]
domino	NOU	29	0	2	23	4	0	[Dominus 13]; [Domino 12]; [dominus 4]
donder	NOU	167	0	32	17	43	75	[dondere 8]; [Donder 5]; [donderen 17]; [donder 114]; [Donderen 1]; [Donders 1]; [donders 21]
donderdag	NOU	11	1	0	7	3	0	[tsanderdaghes 1]; [donderdaechs 3]; [Donder-dagh 3]; [donderdach 1]; [Donderdaechs 3]
donderen	VRB	85	1	24	20	26	14	[dondert 17]; [donderde 17]; [donderen 45]; [ghedondert 4]; [donderden 2]
donderslag	NOU	36	0	12	0	1	23	[donder-slagen 1]; [donderslagen 20]; [Donderslagen 1]; [donderslaghen 9]; [donderslagh 3]; [donderslach 1]; [donderslaechs 1]
donker	ADJ	166	16	27	54	40	29	[donkere 1]; [donckeren 9]; [donckere 24]; [donker 1]; [doncker 128]; [Donckere 2]; [donckerste 1]
donker	NEPER	25	6	3	6	4	6	[doncker 23]; [donckerder 1]; [Doncker 1]
donker	NOU	18	3	7	5	1	2	[doncker 10]; [donckeren 7]; [donckers 1]
donkeren	VRB	25	19	1	1	0	4	[donckeren 6]; [donckerheden 15]; [donckerhede 1]; [ghedonckert. 1]; [donckerheden. 1]; [donckert. 1]
donkeren	NOU	47	44	0	1	0	2	[donckerheden. 1]; [donckerheden 44]; [donekerheden 1]; [Donckerheden 1]
donkerheid	NOU	143	20	17	31	23	52	[danchaerheyt 1]; [d’onsekerheyt 1]; [donckerheit 19]; [donckerheits 1]; [donckerheyt 120]; [donckerheydt 1]
dood	VRB	128	78	5	8	14	23	[doot 90]; [dode 25]; [dede. 13]
dood	ADJ	1921	389	258	416	331	527	[dooder 1]; [dood 1]; [dode 39]; [doodt 169]; [doode 8]; [doot 1702]; [doder 1]
dood	NEPER	57	14	14	6	11	12	[dode 2]; [doodt 17]; [doode 1]; [doot 32]; [Dode 1]; [dede. 1]; [doodts 2]; [Doot 1]
dood	NELOC	23	6	2	1	4	10	[doot 19]; [dode 2]; [dede. 1]; [doder 1]
dood	NOU	5501	481	1009	810	1049	2152	[dooder 11]; [doots 440]; [doden. 4]; [Doodt 23]; [dooden 1814]; [duseut 1]; [Doode 7]; [dood 3]; [doden 236]; [Doots 2]; [doodt 168]; [doode 561]; [doods 1]; [doot 2097]; [dooddest 1]; [doodts 39]; [doodest 8]; [dooden. 14]; [Doodts 1]; [Dooden 12]; [Doot 58]
doodlachen	NOU	11	11	0	0	0	0	[dootslacht 7]; [dootslachte 1]; [doetslacht 2]; [dootslachts 1]
doodliggen	ADJ	22	4	6	0	1	11	[dootgheslegen 1]; [dootlijck 1]; [doodtlick 5]; [dootlic 1]; [doodelick 11]; [dootgeslegen 1]; [dootghesleghen 2]
doods	NOU	15	0	0	0	7	8	[doodezee 3]; [dooddese. 1]; [Dooden-zee 1]; [Doode-zee 4]; [doode-zee 2]; [Doode-Zee 4]
doodslaan	ADJ	62	15	4	20	13	10	[doodtslaen 1]; [doot-slaen 3]; [dootsloegh 1]; [doot-slae 1]; [dootsloeghen 1]; [doodtslaet 1]; [doot-sloegh 3]; [dootslaende 5]; [dootslae 1]; [doot-slaet 5]; [doodt-gheslaghen 1]; [dootgeslaghen 1]; [dootslaet 8]; [dootslaen 25]; [dootgheslagen 2]; [dootslaen. 1]; [dootgheslaghen 2]
doodslaan	NOU	50	11	1	28	6	4	[dootsloech 1]; [doot-slaen 2]; [doot-geslagenen 1]; [dootsloeghen 2]; [dootgeslagenen 1]; [dootslaht 1]; [doot-sloegh 1]; [dootslae 2]; [dootgheslaghen. 1]; [dootslaet 3]; [dootslaen 26]; [dootgheslagen 1]; [dootgheslaghen 4]; [doot-geslagen 2]; [dootslaender 2]
doodslaan	VRB	131	37	6	66	13	9	[dootsloech 3]; [doodtslaen 1]; [doot-slaen 4]; [dootgeslagen 1]; [dootgeslagene 1]; [dootslaende 4]; [dootslae 1]; [doot-slaet 1]; [doodtgheslaghen 1]; [dootgeslaghen 1]; [dootslaet 9]; [dootslaen 60]; [dootgheslagen 2]; [dootsloghen 2]; [dootslaen. 2]; [dootgheslaghen 30]; [doot-geslagen 8]
doodslag	ADJ	16	1	2	3	0	10	[dootslaghen 1]; [doodtslaghen 1]; [dootslachs 1]; [dootslagen 9]; [dootslagh 2]; [dootslach 2]
doodslag	NOU	130	14	26	25	14	51	[Doodtslach 1]; [dootslaghen 9]; [doodtslach 1]; [dootslag 1]; [Dootslagh 3]; [dootslaghe 1]; [Doot-slagh 5]; [dootslagh. 2]; [doodtslaghen 1]; [Dootslach 6]; [dootslachs 6]; [dootslagen 3]; [doodtslagh 3]; [dootslagh 38]; [dootslach 39]; [dootslaghs 2]; [dootslaechs 1]; [doot-slagh 8]
doodslager	NOU	151	1	30	22	24	74	[dootslagher 26]; [Doot-slager. 1]; [Doodtslagher 1]; [dootslaghersse 1]; [doodtslaghers 3]; [dood-slagers 1]; [dootslaghers 15]; [Dootslagher 1]; [doot-slager 12]; [dootslager 48]; [doot-slagers 10]; [dootslagers 31]; [Dootslagers 1]
doof	NOU	26	4	6	7	3	6	[douer 5]; [Doof 1]; [dooue 11]; [dooven 7]; [doouer 1]; [doove 1]
doof	ADJ	50	0	4	5	13	28	[doove 20]; [dooven 8]; [doof 21]; [dooue 1]
doop	NOU	217	0	51	0	39	127	[Doops 7]; [Doops. 1]; [doop. 2]; [Doop. 1]; [doop 96]; [Doop 104]; [doops 6]
doopsel	NOU	24	1	0	23	0	0	[doopsels 1]; [doopselen 1]; [doopsel 22]
door	NOU	141	34	3	86	6	12	[dooren 21]; [door 10]; [doore 50]; [Door 5]; [DOOR 1]; [DOor 6]; [Dore 1]; [dore 37]; [doer. 2]; [doere 8]
door	ADJ	18	6	0	12	0	0	[doere 10]; [dore 8]
door	ADP	16906	68	2371	1394	2281	10792	[door 16209]; [Door 656]; [duer 1]; [DOor 1]; [dore 39]
door	CON	67	1	4	6	2	54	[door 65]; [Door 1]; [dore 1]
door	ADV	1567	12	67	109	111	1268	[door 1538]; [doir 1]; [Door 3]; [door. 1]; [dore 15]; [doorder 1]; [dooor 1]; [doere 7]
door	VRB	165	56	0	76	2	31	[doere 59]; [doer. 1]; [door 39]; [dore 66]
doorboren	VRB	25	4	4	0	3	14	[doorboren 2]; [doorboorden 1]; [doerboren 1]; [door-boort 1]; [doreboren 2]; [doorboorde 1]; [door-boorde 1]; [doorgeboort 1]; [doorbooren 8]; [door-booren 1]; [doerborense 1]; [doorboort 5]
doorbreken	VRB	31	1	3	6	5	16	[door-breeckt 2]; [door-breken 2]; [doerbreken 3]; [doorbreect 1]; [door-gebroken 1]; [doorgebroken 8]; [doorbreeckt 1]; [doorbrekende 1]; [doorbroken 1]; [Doorbreken 1]; [doorbreken 10]
doorbrengen	VRB	12	0	3	0	2	7	[door-bracht 1]; [doorbrenght 1]; [doorbracht 1]; [doorgebracht 5]; [doorbrengen 3]; [doorbrenghen 1]
doordat	CON	12	4	3	5	0	0	[Doordat 1]; [doordat 11]
doordreggen	NELOC	13	0	2	2	0	9	[DORDRECHT 3]; [Dordrecht 10]
doordringen	VRB	37	0	4	0	4	29	[doordringen 21]; [doordringht 1]; [door-dringt 1]; [door-gedrongen 1]; [door-dringen 1]; [doordringende 5]; [doorgedrongen 5]; [doordringhen 2]
doorgaan	VRB	166	9	15	61	3	78	[doergaen 27]; [doorgaende 14]; [doorginge 1]; [doerghegaen 1]; [doergaende 1]; [doorgaen 69]; [doorgaet 12]; [door-gaet 1]; [doorghaen 3]; [doorghinghen 1]; [doergae 1]; [doorghegaen 10]; [doergaet 2]; [doorgegaan 1]; [doorgingen 3]; [doorgegaen 16]; [door-gaen 1]; [door-gegaen 1]; [doorghinck 1]
doorgaan	NOU	13	0	2	0	2	9	[Door-gaen 1]; [doorgaen 1]; [doorgingh 5]; [door-ginck 1]; [doorgegaen 1]; [doorgaenden 3]; [doorghinck 1]
doorgaans	ADV	236	0	41	0	6	189	[door-gaens 1]; [doorgaens 235]
doorgang	NOU	34	1	0	13	5	15	[doorganc 5]; [doerganck 3]; [door-gancks 1]; [doerganc 1]; [doorganger 1]; [door-ganck 4]; [doorgangen 2]; [doorgangh 8]; [doorganghs 2]; [doorganck 5]; [deurgangh 1]; [deurgangen 1]
doorgraven	VRB	20	0	4	8	1	7	[door-graven 1]; [doorgrauen 8]; [doorgraeft 2]; [doergrauen 2]; [doorgraven 5]; [Doorgraeft 1]; [doergraeft 1]
doorgronden	VRB	40	0	16	0	3	21	[doorgrondet 5]; [doorgront 8]; [door-gronden 2]; [doorgrondest 1]; [doorgronden 24]
doorjassen	NEPER	13	7	1	5	0	0	[Godolias 6]; [godolias 7]
doorlopen	VRB	12	0	0	3	0	9	[doorliep 1]; [doorloopt 2]; [doorloopen 4]; [doerlopende 2]; [doorloopende 3]
doorlouteren	VRB	16	0	5	0	4	7	[door-lou-tert 1]; [doorloutert 9]; [door-loutert 2]; [doorlouterde 1]; [door-louterde 1]; [doorlouteren 2]
doorluchtig	ADJ	21	0	2	0	4	15	[doorluchtighen 1]; [doorluchtigh 8]; [doorluchtige 6]; [door-luchtigh 1]; [doorluchtiger 1]; [door-luchtig 1]; [doorluchtich 1]; [doorluchtigen 2]
doorn	VRB	27	2	7	8	6	4	[doerne 2]; [dornen 6]; [doornen 19]
doorn	NOU	359	107	59	53	47	93	[dornen 30]; [doorne 10]; [doernen 3]; [doornen 177]; [doorn 18]; [doern 1]; [doren 110]; [Doornen 10]
doornbos	NOU	24	0	2	1	4	17	[doornenbosch 9]; [doorn-bosch 1]; [doornbosschen 1]; [doornenboschs 1]; [dornenbosch 1]; [doornbosch 6]; [dorenboossche 1]; [doornen-bosch 3]; [doornebosch 1]
doorpekelen	NOU	34	2	1	29	2	0	[dorpkens 33]; [dorpken 1]
doorreizen	VRB	38	0	4	1	5	28	[doorreysen 6]; [doorreyst 5]; [doorgereyst 4]; [door-reysende 2]; [doorreysden 4]; [doorreysende 7]; [door-reysde 1]; [door-rey-sende 1]; [door-reysden 1]; [doorreysde 6]; [doorghereyst 1]
doorschieten	VRB	23	3	5	3	3	9	[door-schieten 1]; [doerschieten 1]; [doerscoten 1]; [doerschietende 1]; [door-schoten 2]; [doerscieten 1]; [doorschietende 2]; [doorschieten 5]; [doorschoten 7]; [doorschiet 2]
doorsnijden	VRB	20	1	0	4	1	14	[doorsneden 6]; [doorsneet 1]; [doorsnijt 1]; [doorsneedt 1]; [door-snijden 1]; [doorsnijden 4]; [doorsnijdt 1]; [doersnidende. 1]; [Doorsnijdt 1]; [doorsnijdende 3]
doorsteken	NOU	25	0	11	1	4	9	[Doersteect 1]; [doorstack 4]; [doorstackse 2]; [doorsteeckt 7]; [doorstaken 2]; [Doorstack 1]; [doorsteect 2]; [door-steeckt 4]; [Doorsteeckt 2]
doorsteken	VRB	165	10	41	24	34	56	[doorsteken 93]; [doorstekende 1]; [doerstakense 1]; [doorstack 2]; [doorsteecken 3]; [door-steken 31]; [doorstecken 1]; [doorsteeckt 7]; [door-gesteken 1]; [Doorsteken 1]; [doorgestekene 2]; [door-staken 1]; [doorsteken. 1]; [doerstaken 1]; [doersteect 2]; [doorsteect 2]; [doorsteke 2]; [doersteken 12]; [doerstacken 1]
doortijgen	VRB	18	0	6	0	4	8	[doorgetogen 6]; [doortoghen 4]; [door-togen 2]; [doortogen 3]; [door-toogh 2]; [doorghetoghen 1]
doortocht	NOU	11	0	0	0	2	9	[door-tocht 1]; [doortocht 7]; [doortochts 1]; [doortochten 2]
doortrekken	VRB	48	0	4	1	9	34	[doortrecken 26]; [doortreckt 3]; [doertrecken 1]; [doortreckende 1]; [doortrock 3]; [doorgetrocken 4]; [door-trock 1]; [door-trecken 6]; [doortrocken 1]; [door-getrocken 2]
doorwandelen	VRB	68	5	6	27	8	22	[doorwandelen 9]; [doorghewandelt 1]; [doerwandelt 5]; [doerwandelde 3]; [door-vvandelt 1]; [doorwandelde 6]; [doorwandelt 26]; [doorwandelden 3]; [Doorwandelt 2]; [doorwandelende 2]; [Doorwandelen 1]; [doerwandelende 2]; [door-wandelt 7]
doorweerd	NOU	16	1	0	15	0	0	[doerwaerderen 1]; [doorwaerder 1]; [doorwaerders 14]
doorzakken	ART_NOU	29	0	0	0	8	21	[D’oorsake 3]; [d’oorsake 21]; [d’oorsaken 3]; [d’oorsaken. 1]; [d’oorsaeck 1]
doorzien	VRB	19	2	2	8	1	6	[doersiet 1]; [doersiende 1]; [doorsien 5]; [doersien 5]; [doorsiet 5]; [door-siet 1]; [doorsiende 1]
doorzoeken	VRB	70	4	7	17	6	36	[doorsochte 1]; [doorsoeckt 8]; [doersoeckent 1]; [doorsoeckende 3]; [Doorsoeckt 1]; [doorsoecken 27]; [doorsoecke 2]; [door-soeckt 1]; [doersocht 3]; [doresoken 1]; [doorzoeken 1]; [doorsuect 1]; [doersochten 1]; [doersoect 2]; [door-soecke 1]; [DOorsoeckt 1]; [door-soecken 4]; [doersoeken 2]; [doorsocht 9]
dopen	NOU	22	0	6	0	12	4	[gedoopt. 1]; [doopt. 1]; [Doopt. 1]; [Doope 15]; [doopstu 1]; [dooptse 1]; [Doopt 1]; [doope 1]
dopen	VRB	487	1	109	84	111	182	[gedoopt. 5]; [ghedoopt 110]; [doopten 2]; [Doope 7]; [doopt 31]; [gedoopte 2]; [doopte 37]; [doopen. 2]; [Doopen 2]; [dopen 1]; [doopti 1]; [Doopt 2]; [doopende 17]; [gedoopt 170]; [doopen 83]; [doope 15]
doper	NOU	45	0	2	9	7	27	[Dooper. 1]; [Dooper 24]; [Doopers 9]; [dooper. 1]; [dooper 8]; [doopere 1]; [doopers 1]
doper	NEPER	108	0	23	4	23	58	[Dooper 71]; [Doopers 32]; [dooper 1]; [doopere 2]; [doopers 2]
doppen	VRB	43	0	3	11	12	17	[doppen 16]; [ghedopt 2]; [dopte 8]; [gedopt 4]; [dopten 2]; [doppede 1]; [dopt 8]; [doppende 2]
doree	ADV	16	2	4	0	7	3	[darius 1]; [doruestu 1]; [dario. 1]; [Darii 4]; [Darius 9]
doree	NOU	82	3	20	16	17	26	[doruest 1]; [darii 1]; [darius 1]; [doruestu 1]; [Darii 4]; [DArius 2]; [Darius 72]
doree	VRB	15	0	11	2	1	1	[doruestu 1]; [doruest 7]; [Darius 4]; [dorue 3]
doree	NEPER	45	6	7	9	7	16	[Darius 38]; [darius 6]; [Darii 1]
doren	VRB	17	8	8	1	0	0	[donren 4]; [doruen 9]; [doeren. 4]
dorheid	NOU	26	2	9	4	5	6	[Dorheyt 1]; [dorheit 2]; [doorheyt 2]; [douerheyt 2]; [dorheydt 3]; [dorheyt 16]
dorp	NOU	356	67	62	62	63	102	[Dorpe 1]; [Dorpen 2]; [dorpen 312]; [dorpen. 5]; [dorp 25]; [dorpe 6]; [dorps 4]; [Dorp 1]
dorpel	NOU	141	25	26	25	25	40	[durpels 1]; [dorpels 6]; [dorpele. 1]; [Dorpel 1]; [dorpel 113]; [dorpelen 18]; [dorpele 1]
dorren	VRB	66	10	3	49	1	3	[gedorret 2]; [dorren 22]; [doort 1]; [doert 38]; [donrede 2]; [door’t 1]
dorren	NOU	18	1	4	7	5	1	[Doort 2]; [dorren 7]; [Doert 1]; [dorden 1]; [d’ordeninge 2]; [doort 2]; [doert 2]; [door’t 1]
dorren	ADJ	10	2	0	7	0	1	[dorden 1]; [doert 8]; [door’t 1]
dorren	ADP_ART	91	1	10	66	4	10	[doert 7]; [door’t 12]; [doort 72]
dorrigheid	NOU	10	0	1	1	0	8	[dorricheyt 2]; [dorrigheyt 8]
dors	NOU	12	0	1	6	0	5	[dorsch 5]; [dorschen 3]; [dorns 2]; [doorse 1]; [Dorschen 1]
dorsen	ADJ	14	2	0	8	1	3	[Gedors 1]; [dorsschende 1]; [dorschende 2]; [dorsche 2]; [doorse 1]; [douerste 7]
dorsen	VRB	85	7	11	13	16	38	[dorschenden 1]; [dorsschenden 1]; [ghedorsschen 1]; [gedorscht 6]; [dorschen 22]; [dorschede 4]; [ghedorschet 1]; [dorsschende 5]; [dorschde 1]; [dorschte 3]; [dorschende 2]; [dorsschede 1]; [gedorschet 1]; [dorscht 23]; [dorsche 3]; [dorstes 1]; [Dorscht 1]; [dorsschen 5]; [douerste 2]; [ghedorst 1]
dorsen	NOU	11	2	0	2	4	3	[Gedors 1]; [dorschenden 4]; [dorsschens 1]; [ghedorsschen 1]; [dorsschende 1]; [gedorschet 1]; [dorstes 1]; [dorsschen 1]
dorst	NOU	82	6	8	22	11	35	[dorst 72]; [dorste 5]; [dorschet 2]; [dorest 1]; [dorsts 2]
dorsten	VRB	240	25	54	38	49	74	[dorst 127]; [dorstede 10]; [dorstede. 1]; [dorstet 27]; [dorsschedet 1]; [dorstende 3]; [gedorst 2]; [dorsten 69]
dorstig	ADJ	77	3	11	8	20	35	[dorstiger 1]; [dorstige 18]; [dorstich 13]; [dorstigen 3]; [dorstigher 2]; [dorstighen 5]; [dorstig 1]; [dorstigh 32]; [dorstighe 2]
dorstig	VRB	19	3	3	8	3	2	[dorstich 3]; [dorstigen 6]; [dorstighen 3]; [dorsteghe 1]; [dorstigh 1]; [dorstighe 5]
dorsvloer	NOU	131	9	10	32	29	51	[dorsch-vloeren 4]; [dorschuloeren 1]; [dorschvloers. 1]; [dorschvloeren 7]; [dorchuloere 1]; [dorschuloer 26]; [dorschuloere 1]; [dorschvloere 1]; [dors-vloer 1]; [dorschvloers 7]; [dorscheuloers 1]; [dorschuloers 1]; [dorsch-vloer 24]; [dorschvloer 55]
dote	NEPER	48	0	47	0	0	1	[Deute. 47]; [Dothan 1]
dote	ART_NOU	165	0	165	0	0	0	[Deute. 165]
dote	NOU	101	0	95	0	2	4	[Deute. 95]; [Dothan 6]
dote	ADJ	54	0	54	0	0	0	[Deute. 54]
douageren	NELOC	10	0	1	9	0	0	[Deuangelie 3]; [deuangelie 7]
douageren	NOU	17	0	0	17	0	0	[Deuangelie 5]; [deuanghelie 1]; [deuangelie 11]
doven	VRB	11	1	5	3	1	1	[gedooft 1]; [dooue 2]; [dooven 1]; [doouen 6]; [doeue 1]
draad	NOU	21	1	3	3	3	11	[Draet 1]; [drayen 1]; [draden 3]; [draet 16]
draad	VRB	31	6	5	11	3	6	[draet 31]
draadtap	NOU	20	0	0	20	0	0	[dlantscap 20]
draaien	NOU	10	2	0	2	0	6	[ghedraeyt 2]; [Draeijen 1]; [draeyendeasse 1]; [gedraeyde 1]; [draeijen 1]; [gedraeyt 4]
draaien	VRB	38	12	3	7	5	11	[draeyende 8]; [gedraeyet 1]; [gedraeyde 3]; [draeye 2]; [draeyt 5]; [draeiende 1]; [draeyde 1]; [draait 1]; [draeyent 1]; [ghedrayt 1]; [draeijen 4]; [draeyen 7]; [drayende 1]; [gedraeyt 2]
draaiwind	NOU	14	0	5	0	2	7	[draey-wint 1]; [draeywint 9]; [draeywindt 4]
draak	NOU	264	22	54	46	53	89	[Draeck. 2]; [draak 2]; [DRAECK 1]; [DRAke 2]; [Drack 1]; [drakes. 1]; [Draecke 2]; [draeck 22]; [Draken 22]; [Drake 10]; [Draecx 1]; [draec 7]; [draecks 3]; [drake 19]; [draken 74]; [sdraken 1]; [draecs 4]; [drake. 1]; [Draec 5]; [Draecks 10]; [Draeck 74]
draak	VRB	20	7	2	4	1	6	[draeck 3]; [Drake 1]; [draechse 1]; [drake 3]; [draken 12]
drachme	NOU	25	3	3	2	3	14	[dragma 2]; [drachma 1]; [drachmen 14]; [draghme 1]; [dragmen 3]; [Drachmen 1]; [Drachmas 3]
drachme	VRB	12	3	1	1	0	7	[drachma 1]; [drachmen 5]; [drachme 2]; [dragmen 3]; [droechmen 1]
dracht	VRB	22	17	1	2	0	2	[draechtse 4]; [drachte. 1]; [dracht. 1]; [drachten 3]; [dracht 9]; [drachte 3]; [draechst 1]
dracht	NOU	19	9	0	2	0	8	[draeghtse 1]; [draght 3]; [drachten 2]; [dracht 12]; [drachte 1]
drachtig	ADJ	10	8	1	1	0	0	[drachtich 6]; [drachtighe 1]; [drachtighen 1]; [drachtige 2]
draden	VRB	15	2	3	1	2	7	[draet. 2]; [draedt 2]; [drijuet 2]; [draden 9]
drage	VRB	76	9	18	6	18	25	[drage 51]; [dragese 1]; [draghe 24]
dragen	ADJ	52	8	14	5	11	14	[droegh. 1]; [droech 17]; [draeght’er 1]; [dragende 9]; [Draech 1]; [droege 7]; [droegense 3]; [droeghense 2]; [droegen 6]; [droeghen 4]; [draghende 1]
dragen	NEPER	11	3	1	3	3	1	[droech 5]; [ghedraghen 1]; [draech 1]; [droegen 1]; [droegh 3]
dragen	NOU	134	35	32	36	8	23	[dragender 1]; [droech 13]; [Drach 1]; [Dragende 1]; [ghedraghen 37]; [Draech 1]; [Dragen 1]; [Draghen 1]; [droege 4]; [draghen 2]; [droegense 1]; [gedraghen 3]; [droeghense 1]; [droegen 9]; [ghedraghen. 1]; [Draget 2]; [droeghen 39]; [droechen 2]; [droegh 14]
